Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2012,Pennsylvania,"Philadelphia County, PA","1,552,087",29.68036,1.36349,27.12825,32.47338
2012,Pennsylvania,"Pike County, PA","56,334",17.35252,3.70604,11.56829,26.03033
2012,Pennsylvania,"Potter County, PA","17,556",12.19783,3.53511,7.13054,20.87238
2012,Pennsylvania,"Schuylkill County, PA","147,131",24.42008,3.50153,18.51381,32.21370
2012,Pennsylvania,"Snyder County, PA","39,886",7.62722,2.05601,4.61284,12.61405
2012,Pennsylvania,"Somerset County, PA","77,028",16.81990,3.34671,11.51125,24.57933
2012,Pennsylvania,"Sullivan County, PA","6,405",11.36365,3.79673,6.17977,20.89847
2012,Pennsylvania,"Susquehanna County, PA","42,923",14.49508,3.41602,9.29304,22.60970
2012,Pennsylvania,"Tioga County, PA","42,486",8.52943,2.22059,5.23957,13.88533
2012,Pennsylvania,"Union County, PA","45,195",5.78277,1.59437,3.46090,9.66344
2012,Pennsylvania,"Venango County, PA","54,185",17.48367,3.76908,11.61477,26.32168
2012,Pennsylvania,"Warren County, PA","41,268",9.60911,2.47771,5.92874,15.57701
2012,Pennsylvania,"Washington County, PA","208,350",17.16704,2.46324,13.01211,22.64943
2012,Pennsylvania,"Wayne County, PA","52,244",21.25623,4.41540,14.32087,31.55572
2012,Pennsylvania,"Westmoreland County, PA","362,825",28.33222,2.63356,23.64027,33.95719
2012,Pennsylvania,"Wyoming County, PA","28,391",27.03549,6.17160,17.56235,41.63036
2012,Pennsylvania,"York County, PA","437,551",16.51483,1.78952,13.37893,20.38700
2013,Pennsylvania,"Adams County, PA","101,156",10.41276,2.18426,6.98920,15.51421
2013,Pennsylvania,"Allegheny County, PA","1,233,999",21.96551,1.30314,19.55993,24.66772
2013,Pennsylvania,"Armstrong County, PA","68,015",21.87519,4.18747,15.17632,31.53217
2013,Pennsylvania,"Beaver County, PA","169,770",25.21123,3.38281,19.44728,32.68622
2013,Pennsylvania,"Bedford County, PA","49,317",17.48365,3.85568,11.51297,26.55444
2013,Pennsylvania,"Berks County, PA","413,975",13.38882,1.62019,10.58820,16.93119
2013,Pennsylvania,"Blair County, PA","125,869",15.76688,2.76799,11.25993,22.07790
2013,Pennsylvania,"Bradford County, PA","62,519",11.10322,2.56063,7.18169,17.16614
2013,Pennsylvania,"Bucks County, PA","625,325",22.34485,1.80817,19.08191,26.16692
2013,Pennsylvania,"Butler County, PA","185,185",20.18591,2.85178,15.36439,26.52277
2013,Pennsylvania,"Cambria County, PA","138,858",34.71270,4.44388,27.08953,44.48403
2013,Pennsylvania,"Cameron County, PA","4,927",10.65608,3.79753,5.59569,20.29588
2013,Pennsylvania,"Carbon County, PA","64,545",24.21320,4.57846,16.87063,34.75555
2013,Pennsylvania,"Centre County, PA","158,342",6.84782,1.42536,4.60976,10.17325
2013,Pennsylvania,"Chester County, PA","509,101",10.76622,1.30862,8.50542,13.62850
2013,Pennsylvania,"Clarion County, PA","39,087",14.48593,3.52548,9.16478,22.90340
2013,Pennsylvania,"Clearfield County, PA","81,444",18.12022,3.48932,12.54653,26.17520
2013,Pennsylvania,"Clinton County, PA","39,835",12.74757,3.16592,7.99534,20.32966
2013,Pennsylvania,"Columbia County, PA","67,203",10.90143,2.48062,7.08884,16.76276
2013,Pennsylvania,"Crawford County, PA","87,532",20.59924,3.73514,14.55743,29.15251
2013,Pennsylvania,"Cumberland County, PA","241,153",11.68057,1.82812,8.64101,15.79061
2013,Pennsylvania,"Dauphin County, PA","271,500",14.34806,1.99472,10.96707,18.77244
2013,Pennsylvania,"Delaware County, PA","561,635",24.67663,2.00420,21.06105,28.91412
2013,Pennsylvania,"Elk County, PA","31,462",13.07391,3.33848,8.09986,21.10144
2013,Pennsylvania,"Erie County, PA","280,905",20.75468,2.46094,16.48965,26.12480
2013,Pennsylvania,"Fayette County, PA","134,610",26.10140,3.77226,19.74611,34.50465
2013,Pennsylvania,"Forest County, PA","7,532",12.24424,4.08189,6.66727,22.49240
2013,Pennsylvania,"Franklin County, PA","152,005",8.88300,1.74500,6.10676,12.92106
2013,Pennsylvania,"Fulton County, PA","14,622",16.86444,4.74188,10.00047,28.44206
2013,Pennsylvania,"Greene County, PA","37,880",23.34457,5.11276,15.41340,35.36015
2013,Pennsylvania,"Huntingdon County, PA","45,847",11.78546,2.85997,7.46448,18.60978
2013,Pennsylvania,"Indiana County, PA","88,178",19.09027,3.52786,13.40499,27.18806
2013,Pennsylvania,"Jefferson County, PA","44,879",15.72772,3.62674,10.17407,24.31576
2013,Pennsylvania,"Juniata County, PA","24,478",8.35363,2.43462,4.86952,14.33243
2013,Pennsylvania,"Lackawanna County, PA","213,797",22.19122,2.85830,17.29214,28.47999
2013,Pennsylvania,"Lancaster County, PA","530,109",10.25392,1.25056,8.09440,12.99016
2013,Pennsylvania,"Lawrence County, PA","89,274",27.38287,4.50026,19.96499,37.56049
2013,Pennsylvania,"Lebanon County, PA","135,803",8.62180,1.76158,5.84389,12.72080
2013,Pennsylvania,"Lehigh County, PA","355,273",16.07585,1.92162,12.74887,20.27221
2013,Pennsylvania,"Luzerne County, PA","319,737",21.10956,2.35417,16.99811,26.21675
2013,Pennsylvania,"Lycoming County, PA","116,626",14.64937,2.70040,10.29591,20.84653
2013,Pennsylvania,"Mc Kean County, PA","42,819",14.21122,3.38503,9.07179,22.26627
2013,Pennsylvania,"Mercer County, PA","115,162",22.92035,3.66887,16.84416,31.19109
2013,Pennsylvania,"Mifflin County, PA","46,636",13.48717,3.19163,8.63254,21.07397
2013,Pennsylvania,"Monroe County, PA","167,435",19.03266,2.85125,14.25698,25.41038
2013,Pennsylvania,"Montgomery County, PA","812,750",16.96067,1.38100,14.46990,19.88108
2013,Pennsylvania,"Montour County, PA","18,398",18.58639,4.97647,11.27549,30.64394
2013,Pennsylvania,"Northampton County, PA","299,066",16.06486,2.05923,12.53304,20.59332
2013,Pennsylvania,"Northumberland County, PA","93,884",17.26857,3.22921,12.07768,24.69298
2013,Pennsylvania,"Perry County, PA","45,650",12.55263,3.01204,7.98729,19.72660
2013,Pennsylvania,"Philadelphia County, PA","1,558,713",26.01268,1.27140,23.64012,28.62410
2013,Pennsylvania,"Pike County, PA","56,126",19.35751,4.03576,13.02321,28.77551
2013,Pennsylvania,"Potter County, PA","17,446",12.04746,3.49666,7.03729,20.62922
2013,Pennsylvania,"Schuylkill County, PA","146,674",17.56559,2.83178,12.88111,23.95401
2013,Pennsylvania,"Snyder County, PA","40,133",7.12469,1.93291,4.29581,11.81714
2013,Pennsylvania,"Somerset County, PA","76,607",16.13754,3.24913,10.99684,23.68250
2013,Pennsylvania,"Sullivan County, PA","6,303",11.92874,3.98084,6.49110,21.92397
2013,Pennsylvania,"Susquehanna County, PA","42,399",21.33904,4.67968,14.08363,32.34097
2013,Pennsylvania,"Tioga County, PA","42,252",12.04529,2.99467,7.55180,19.21885
2013,Pennsylvania,"Union County, PA","44,773",6.04342,1.66064,3.62254,10.08319
2013,Pennsylvania,"Venango County, PA","53,814",18.80783,3.99523,12.56500,28.15653
2013,Pennsylvania,"Warren County, PA","40,963",8.56250,2.24124,5.24706,13.97255
2013,Pennsylvania,"Washington County, PA","208,117",24.89983,3.09737,19.56560,31.69071
2013,Pennsylvania,"Wayne County, PA","52,204",17.30650,3.76585,11.45476,26.14738
2013,Pennsylvania,"Westmoreland County, PA","360,720",27.93891,2.61985,23.27545,33.53848
2013,Pennsylvania,"Wyoming County, PA","28,144",23.48493,5.51303,15.08215,36.57495
2013,Pennsylvania,"York County, PA","439,041",15.67750,1.73411,12.64603,19.43673
2014,Pennsylvania,"Adams County, PA","101,376",10.34698,2.17257,6.94227,15.42152
2014,Pennsylvania,"Allegheny County, PA","1,233,417",25.66218,1.41347,23.04139,28.58193
2014,Pennsylvania,"Armstrong County, PA","67,631",24.82758,4.59459,17.42561,35.37622
2014,Pennsylvania,"Beaver County, PA","169,033",23.93523,3.28141,18.36171,31.20272
2014,Pennsylvania,"Bedford County, PA","49,131",16.68664,3.71804,10.94310,25.44593
2014,Pennsylvania,"Berks County, PA","414,632",16.04022,1.80040,12.89845,19.94850
2014,Pennsylvania,"Blair County, PA","125,309",17.11349,2.93304,12.31578,23.78059
2014,Pennsylvania,"Bradford County, PA","61,957",13.17956,2.94591,8.63270,20.12340
2014,Pennsylvania,"Bucks County, PA","625,618",22.89181,1.83162,19.58336,26.76037
2014,Pennsylvania,"Butler County, PA","185,874",20.46117,2.87200,15.60053,26.83832
2014,Pennsylvania,"Cambria County, PA","137,587",30.01455,4.08032,23.07499,39.04274
2014,Pennsylvania,"Cameron County, PA","4,829",11.25491,4.00700,5.91331,21.42472
2014,Pennsylvania,"Carbon County, PA","64,264",24.94413,4.68315,17.42226,35.71706
2014,Pennsylvania,"Centre County, PA","159,798",7.86646,1.57961,5.36600,11.53351
2014,Pennsylvania,"Chester County, PA","512,776",13.97493,1.51988,11.31266,17.26472
2014,Pennsylvania,"Clarion County, PA","38,923",13.07922,3.23665,8.21542,20.82572
2014,Pennsylvania,"Clearfield County, PA","81,018",15.20168,3.06838,10.35000,22.32980
2014,Pennsylvania,"Clinton County, PA","39,490",12.07580,3.02710,7.54309,19.33503
2014,Pennsylvania,"Columbia County, PA","67,135",14.53823,3.11868,9.67629,21.84588
2014,Pennsylvania,"Crawford County, PA","87,180",19.94370,3.65483,14.04415,28.32426
2014,Pennsylvania,"Cumberland County, PA","243,400",11.57312,1.81128,8.56145,15.64516
2014,Pennsylvania,"Dauphin County, PA","272,312",18.36766,2.31779,14.38382,23.45668
2014,Pennsylvania,"Delaware County, PA","562,868",28.14670,2.14962,24.24884,32.67244
2014,Pennsylvania,"Elk County, PA","31,187",20.18668,4.83000,12.86326,31.68943
2014,Pennsylvania,"Erie County, PA","279,660",19.94317,2.40784,15.77990,25.20658
2014,Pennsylvania,"Fayette County, PA","134,009",28.73963,4.01426,21.94062,37.64829
2014,Pennsylvania,"Forest County, PA","7,459",11.42051,3.81995,6.20710,21.01548
2014,Pennsylvania,"Franklin County, PA","152,685",13.99747,2.40907,10.06078,19.47747
2014,Pennsylvania,"Fulton County, PA","14,536",18.71920,5.21354,11.15051,31.42954
2014,Pennsylvania,"Greene County, PA","37,781",26.23040,5.60410,17.48529,39.35430
2014,Pennsylvania,"Huntingdon County, PA","45,749",13.49904,3.20481,8.62896,21.12145
2014,Pennsylvania,"Indiana County, PA","87,459",17.91539,3.37865,12.49285,25.69082
2014,Pennsylvania,"Jefferson County, PA","44,575",18.63788,4.16327,12.21173,28.45114
2014,Pennsylvania,"Juniata County, PA","24,484",10.39426,2.97105,6.11672,17.66853
2014,Pennsylvania,"Lackawanna County, PA","212,922",19.76464,2.66727,15.22330,25.66151
2014,Pennsylvania,"Lancaster County, PA","533,414",13.03446,1.43588,10.52314,16.14606
2014,Pennsylvania,"Lawrence County, PA","88,668",24.69259,4.20544,17.80566,34.24483
